TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ
1990,A9,Tax revenue,Central government,Social security contributions (SSC),Total,Percentage of GDP,Annual
1991,ARG,,European institutions and bodies (EU accounts),Taxes on goods and services,,,
1992,ARM,,General government,"Taxes on income, profits and capital gains of individuals and corporations",,,
1993,ATG,,Local government,Taxes on property,,,
1994,AUS,,Social security funds,Total tax revenue,,,
1995,AUT,,State government,,,,
1996,AZE,,,,,,
1997,BEL,,,,,,
1998,BFA,,,,,,
1999,BGD,,,,,,
2000,BGR,,,,,,
2001,BHS,,,,,,
2002,BLZ,,,,,,
2003,BOL,,,,,,
2004,BRA,,,,,,
2005,BRB,,,,,,
2006,BTN,,,,,,
2007,BWA,,,,,,
2008,CAN,,,,,,
2009,CHE,,,,,,
2010,CHL,,,,,,
2011,CHN,,,,,,
2012,CIV,,,,,,
2013,CMR,,,,,,
2014,COD,,,,,,
2015,COG,,,,,,
2016,COK,,,,,,
2017,COL,,,,,,
2018,CPV,,,,,,
2019,CRI,,,,,,
2020,CUB,,,,,,
2021,CZE,,,,,,
2022,DEU,,,,,,
2023,DNK,,,,,,
,DOM,,,,,,
,ECU,,,,,,
,EGY,,,,,,
,ESP,,,,,,
,EST,,,,,,
,F,,,,,,
,FIN,,,,,,
,FJI,,,,,,
,FRA,,,,,,
,GAB,,,,,,
,GBR,,,,,,
,GEO,,,,,,
,GHA,,,,,,
,GIN,,,,,,
,GNQ,,,,,,
,GRC,,,,,,
,GTM,,,,,,
,GUY,,,,,,
,HKG,,,,,,
,HND,,,,,,
,HRV,,,,,,
,HUN,,,,,,
,IDN,,,,,,
,IRL,,,,,,
,ISL,,,,,,
,ISR,,,,,,
,ITA,,,,,,
,JAM,,,,,,
,JPN,,,,,,
,KAZ,,,,,,
,KEN,,,,,,
,KGZ,,,,,,
,KHM,,,,,,
,KIR,,,,,,
,KOR,,,,,,
,LAO,,,,,,
,LCA,,,,,,
,LIE,,,,,,
,LKA,,,,,,
,LSO,,,,,,
,LTU,,,,,,
,LUX,,,,,,
,LVA,,,,,,
,MAR,,,,,,
,MDA,,,,,,
,MDG,,,,,,
,MDV,,,,,,
,MEX,,,,,,
,MHL,,,,,,
,MLI,,,,,,
,MLT,,,,,,
,MNG,,,,,,
,MOZ,,,,,,
,MRT,,,,,,
,MUS,,,,,,
,MWI,,,,,,
,MYS,,,,,,
,NAM,,,,,,
,NER,,,,,,
,NGA,,,,,,
,NIC,,,,,,
,NIU,,,,,,
,NLD,,,,,,
,NOR,,,,,,
,NRU,,,,,,
,NZL,,,,,,
,OECD_REP,,,,,,
,PAK,,,,,,
,PAN,,,,,,
,PER,,,,,,
,PHL,,,,,,
,PNG,,,,,,
,POL,,,,,,
,PRT,,,,,,
,PRY,,,,,,
,ROU,,,,,,
,RWA,,,,,,
,SEN,,,,,,
,SGP,,,,,,
,SLB,,,,,,
,SLE,,,,,,
,SLV,,,,,,
,SO,,,,,,
,SOM,,,,,,
,SVK,,,,,,
,SVN,,,,,,
,SWE,,,,,,
,SWZ,,,,,,
,SYC,,,,,,
,TCD,,,,,,
,TGO,,,,,,
,THA,,,,,,
,TKL,,,,,,
,TLS,,,,,,
,TTO,,,,,,
,TUN,,,,,,
,TUR,,,,,,
,UGA,,,,,,
,UKR,,,,,,
,URY,,,,,,
,USA,,,,,,
,VEN,,,,,,
,VNM,,,,,,
,VUT,,,,,,
,WSM,,,,,,
,ZAF,,,,,,
,ZMB,,,,,,
